n_epochs,intermediate_distortion,intermediate_l1,mean_optim_l1,min_optim_l1,std_optim_l1,mean_no_optim_l1,min_no_optim_l1,std_no_optim_l1,mean_optim_distortion,min_optim_distortion,std_optim_distortion,mean_no_optim_distortion,min_no_optim_distortion,std_no_optim_distortion,scale_delta,distance_reg,learning_rate
106,1.866148,0.323350,1.029579,0.979769,0.016025,1.139954,1.006358,0.041513,3.030383,2.712660,0.180559,3.400000,3.000000,0.489898,1.000000,0.100000,0.100000
397,1.589917,0.309014,0.606255,0.578190,0.014239,1.139956,0.997184,0.046527,2.599626,2.153940,0.127695,3.360000,3.000000,0.480000,0.010000,0.010000,0.010000
74,0.054712,0.019849,1.123786,1.007313,0.038468,1.140712,1.012489,0.041483,3.237919,2.972221,0.411610,3.280000,3.000000,0.448999,0.001000,0.010000,0.001000
94,0.057771,0.018554,1.126607,1.019938,0.038685,1.141297,1.026068,0.041356,3.357477,2.975379,0.447684,3.410000,3.000000,0.491833,0.001000,0.100000,0.001000
48,0.034016,0.011742,1.142481,1.031435,0.042138,1.150917,1.032367,0.043953,3.304767,2.983019,0.446958,3.330000,3.000000,0.470213,1.000000,0.000100,0.001000
150,2.689481,0.400604,0.888618,0.858780,0.012440,1.146907,1.032367,0.040160,3.675603,3.268274,0.178503,3.290000,3.000000,0.453762,0.100000,0.010000,0.100000
385,1.738524,0.311139,0.542995,0.509129,0.012137,1.143192,0.997184,0.046422,2.340881,2.204817,0.141620,3.370000,3.000000,0.482804,0.010000,0.000100,0.010000
43,0.027762,0.008556,1.142562,1.017430,0.037905,1.149668,1.019681,0.039137,3.378005,2.988414,0.470093,3.400000,3.000000,0.489898,0.001000,0.100000,0.001000
451,1.769706,0.314553,0.491204,0.470514,0.008820,1.145077,1.019681,0.048963,2.207524,2.055466,0.195440,3.310000,3.000000,0.462493,0.100000,0.001000,0.010000
194,0.139367,0.050923,1.104806,1.010479,0.036270,1.153439,1.039450,0.043904,3.187523,2.914137,0.359050,3.320000,3.000000,0.466476,0.010000,0.001000,0.001000
421,1.839309,0.316577,0.501709,0.478837,0.009528,1.135373,0.997184,0.043452,2.171197,1.918773,0.166725,3.240000,3.000000,0.427083,1.000000,0.001000,0.010000
442,0.232606,0.091426,1.108646,1.028875,0.028891,1.148965,1.048467,0.039722,3.158226,2.840904,0.315606,3.320000,3.000000,0.466476,10.000000,1.000000,0.001000
79,0.003164,0.000308,1.150632,1.033018,0.043335,1.150599,1.032867,0.043408,3.279772,2.999993,0.447699,3.280000,3.000000,0.448999,100.000000,0.100000,0.000100
167,0.124551,0.043981,1.104665,1.014426,0.035342,1.144804,1.032867,0.042087,3.222986,2.931393,0.374255,3.340000,3.000000,0.473709,0.010000,0.000100,0.001000
66,0.036250,0.010568,1.139518,1.036953,0.040706,1.140026,1.032867,0.042575,3.280903,2.996665,0.435301,3.290000,3.000000,0.453762,1.000000,10.000000,0.001000
500,0.367410,0.130361,1.024133,0.953525,0.025227,1.142787,1.006358,0.044094,3.005201,2.796759,0.263692,3.350000,3.000000,0.476970,0.100000,0.001000,0.001000
324,1.231368,0.219860,0.850590,0.811644,0.017291,1.148643,1.032367,0.037898,2.625862,2.434048,0.121156,3.390000,3.000000,0.487750,10.000000,1.000000,0.010000
456,2.129991,0.322175,0.354365,0.347277,0.006546,1.147957,0.997184,0.044043,1.859064,1.697052,0.192484,3.280000,3.000000,0.448999,1.000000,0.001000,0.010000
39,0.031749,0.010614,1.136961,1.021093,0.042473,1.146611,1.026068,0.044317,3.340446,2.984272,0.460184,3.370000,3.000000,0.482804,0.001000,0.001000,0.001000
84,1.751727,0.315782,1.094068,1.036151,0.018986,1.138535,1.006358,0.045426,3.151972,2.799773,0.213627,3.310000,3.000000,0.462493,0.001000,0.100000,0.100000
500,0.308787,0.123352,1.075006,0.993507,0.029061,1.153388,1.019681,0.045179,3.082969,2.779058,0.277588,3.310000,3.000000,0.462493,10.000000,0.001000,0.001000
73,0.028412,0.002326,1.148174,1.032683,0.041575,1.147765,1.030561,0.041946,3.269423,3.000000,0.433060,3.270000,3.000000,0.443959,100.000000,0.000100,0.001000
55,1.326659,0.028629,1.160810,1.048007,0.034502,1.141402,0.997184,0.037661,3.348364,3.016053,0.369220,3.310000,3.000000,0.462493,100.000000,10.000000,0.100000
44,0.003445,0.001271,1.147885,1.044011,0.042188,1.148229,1.044218,0.042348,3.338314,2.998206,0.471474,3.340000,3.000000,0.473709,10.000000,10.000000,0.000100
74,0.004503,0.001468,1.151155,1.038905,0.039778,1.152426,1.039450,0.039984,3.316390,2.997775,0.462925,3.320000,3.000000,0.466476,0.010000,1.000000,0.000100
33,0.002775,0.000899,1.146794,1.012245,0.041081,1.147619,1.012489,0.041229,3.417167,2.998616,0.491073,3.420000,3.000000,0.493559,0.001000,1.000000,0.000100
139,2.302762,0.375315,0.567970,0.550825,0.007741,1.144424,1.039450,0.041926,2.411835,2.168190,0.152863,3.320000,3.000000,0.466476,10.000000,0.010000,0.100000
59,0.035708,0.011266,1.130672,0.998960,0.041465,1.138116,0.997184,0.043592,3.288790,2.989062,0.437720,3.310000,3.000000,0.462493,0.010000,1.000000,0.001000
95,2.747626,0.378235,0.771583,0.729813,0.012154,1.144594,1.012489,0.044952,3.256134,2.851569,0.142475,3.290000,3.000000,0.453762,0.100000,0.001000,0.100000
53,0.003438,0.001057,1.140522,1.019378,0.047995,1.141417,1.019681,0.048193,3.327649,2.998603,0.467723,3.330000,3.000000,0.470213,0.010000,0.100000,0.000100
321,0.223714,0.096941,1.066241,0.975166,0.028750,1.144302,1.006358,0.042243,3.141515,2.864935,0.336509,3.380000,3.000000,0.485386,1.000000,0.000100,0.001000
139,2.376636,0.385807,0.555252,0.538072,0.007470,1.145876,1.006358,0.041273,2.516991,2.304727,0.150308,3.300000,3.000000,0.458258,10.000000,0.001000,0.100000
33,0.002703,0.001021,1.135875,1.019749,0.044520,1.136159,1.019681,0.044641,3.299089,2.998407,0.456671,3.300000,3.000000,0.458258,10.000000,0.010000,0.000100
347,0.240378,0.086542,1.077998,1.002509,0.031040,1.143119,1.012489,0.046606,3.121375,2.879357,0.295050,3.340000,3.000000,0.473709,0.010000,0.100000,0.001000
90,1.466311,0.310231,1.072746,1.030606,0.016642,1.140607,1.006358,0.042680,3.022425,2.757041,0.184424,3.290000,3.000000,0.453762,0.001000,0.100000,0.100000
